StudentPerformance-dataset
Hours_Studied,Attendance,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Exam_Score
10,77,High,Yes,10,64,High,Low,Private,Negative,3,Yes,62
14,85,High,No,9,87,High,Medium,Public,Negative,3,No,67
18,70,Low,No,6,79,Medium,Medium,Public,Positive,2,No,65
14,62,Medium,No,9,73,Medium,Low,Public,Neutral,6,No,61
23,60,Medium,Yes,9,56,Low,Low,Private,Negative,4,No,61
16,61,Medium,No,4,54,Low,Low,Private,Neutral,2,No,60
33,60,High,No,8,85,Low,Low,Public,Negative,3,No,68
27,64,Medium,Yes,6,56,Low,Low,Public,Neutral,5,No,65
21,70,High,Yes,8,72,Low,Medium,Public,Neutral,1,No,67
26,69,Low,No,10,87,Low,Medium,Public,Positive,2,No,67
27,99,Medium,No,9,96,Low,High,Private,Positive,2,No,74
17,72,Medium,No,7,94,Low,Medium,Public,Positive,2,No,64
15,65,High,Yes,9,93,Low,Low,Private,Neutral,3,No,64
20,82,Low,Yes,4,68,Medium,Low,Public,Neutral,3,No,67
25,94,High,No,8,96,High,Medium,Public,Negative,3,Yes,74
21,87,Medium,Yes,8,84,High,Low,Private,Positive,2,No,69
11,72,Medium,No,8,94,High,Low,Public,Positive,2,No,62
15,82,Medium,Yes,6,54,Medium,Medium,Public,Positive,2,No,66
20,89,High,Yes,8,52,Low,Medium,Public,Negative,3,No,69
20,89,Medium,Yes,8,71,Medium,Medium,Public,Negative,1,No,68
32,87,Medium,Yes,4,91,Medium,High,Public,Neutral,2,No,74
12,95,Medium,No,7,70,Medium,Medium,Public,Positive,3,No,68
23,95,Medium,Yes,6,94,High,Medium,Public,Neutral,3,No,73
29,83,Low,No,8,62,Low,High,Public,Negative,5,No,70
34,77,High,No,9,52,Medium,Medium,Private,Neutral,4,No,69
18,86,Medium,Yes,6,88,Medium,Medium,Public,Neutral,2,No,68
23,93,High,No,5,81,High,Low,Private,Negative,1,No,71
23,60,Medium,No,7,72,Low,High,Public,Neutral,2,No,64
21,100,Medium,No,5,92,Low,Low,Public,Positive,3,Yes,71
19,67,Medium,No,7,91,Medium,Low,Public,Neutral,3,No,65
23,79,Medium,Yes,7,66,High,High,Private,Positive,3,No,68
5,95,High,Yes,8,92,Low,Low,Private,Neutral,2,No,67
24,69,High,Yes,7,67,Medium,Medium,Public,Negative,4,No,67
21,79,Low,Yes,7,81,Low,Medium,Public,Neutral,4,No,67
19,65,High,Yes,9,60,Low,Low,Public,Neutral,3,No,63
32,76,Medium,No,7,63,Medium,Medium,Public,Positive,3,No,68
16,67,High,Yes,6,72,Medium,Low,Public,Positive,3,No,66
18,75,Medium,Yes,7,66,High,High,Public,Positive,4,No,67
32,75,Low,Yes,6,56,Medium,Medium,Public,Neutral,2,No,68
15,100,Medium,Yes,5,74,Medium,High,Private,Neutral,3,No,72
17,100,Medium,No,5,76,Low,Low,Private,Neutral,3,No,70
19,65,High,No,9,58,Low,Medium,Public,Negative,4,No,62
25,89,Low,Yes,6,59,Medium,Low,Public,Neutral,2,No,69
21,62,Low,Yes,7,51,Low,Low,Private,Positive,4,No,61
12,61,Low,Yes,7,52,Low,Low,Public,Positive,2,No,58
17,64,Medium,No,7,68,Medium,Medium,Private,Neutral,3,No,63
16,99,Medium,No,9,57,High,Medium,Public,Positive,3,No,71
20,98,Medium,Yes,7,96,Low,Low,Public,Positive,3,No,70
23,68,Medium,No,6,60,Medium,Low,Public,Neutral,3,No,64
23,66,Low,No,6,53,Low,Medium,Public,Positive,1,No,63
9,70,Medium,Yes,8,70,Low,Medium,Public,Positive,3,No,63
26,81,Low,No,8,60,High,Low,Public,Positive,5,No,71
22,83,High,Yes,8,53,Medium,Low,Public,Negative,2,No,65
28,69,High,No,7,88,Low,Low,Public,Neutral,2,No,68
23,90,High,Yes,5,78,High,Medium,Private,Neutral,3,No,70
27,72,High,Yes,8,53,Medium,Medium,Public,Neutral,3,No,68
23,97,High,No,7,73,Medium,Low,Private,Negative,1,No,69
28,86,Medium,Yes,7,52,Medium,Medium,Public,Positive,5,No,70
23,77,Medium,No,5,68,Low,High,Private,Positive,3,Yes,67
19,92,High,Yes,6,68,Medium,Medium,Public,Neutral,2,No,69
34,93,Medium,No,6,91,Low,High,Public,Neutral,3,No,73
25,72,Medium,Yes,8,87,Low,Medium,Public,Positive,3,No,68
23,74,Medium,No,8,95,Medium,Low,Public,Negative,2,No,67
12,97,High,Yes,7,57,Low,Low,Private,Positive,4,No,67
12,67,High,Yes,8,77,Medium,Low,Private,Positive,3,No,64
22,62,Medium,No,9,51,Medium,Low,Public,Neutral,2,No,63
21,78,High,No,8,91,Medium,Medium,Private,Negative,5,No,67
16,92,High,Yes,8,68,Medium,Medium,Public,Positive,2,No,70
21,91,Medium,Yes,6,53,High,Medium,Public,Positive,3,No,71
30,97,High,Yes,6,66,High,Medium,Private,Neutral,2,No,74
24,81,High,Yes,9,64,High,High,Public,Positive,3,No,70
13,64,Low,No,6,88,Medium,Medium,Public,Neutral,2,No,59
19,84,Medium,Yes,8,56,Medium,Low,Private,Neutral,3,Yes,64
15,91,Medium,No,10,78,Low,Medium,Public,Neutral,3,No,67
18,64,Medium,Yes,8,90,Medium,Low,Public,Neutral,3,No,63
18,67,High,Yes,7,87,Medium,Low,Public,Positive,2,No,66
17,60,Medium,Yes,5,97,Medium,Medium,Private,Negative,4,No,62
12,84,Medium,No,7,50,Medium,High,Public,Neutral,3,No,65
19,95,High,Yes,9,68,Medium,High,Public,Positive,4,No,73
17,87,High,Yes,7,68,High,Medium,Public,Positive,2,No,70
2,99,Low,Yes,9,52,Low,Medium,Public,Neutral,4,No,62
32,63,High,No,8,91,Medium,High,Public,Positive,5,Yes,68
27,96,Low,Yes,7,84,Medium,High,Public,Neutral,3,No,74
18,93,Medium,No,7,76,Low,Medium,Private,Neutral,4,No,96
20,73,High,No,5,70,High,Low,Public,Negative,2,No,66
13,99,High,Yes,6,95,Medium,Low,Public,Positive,4,No,69
30,72,High,Yes,6,63,Medium,Low,Public,Neutral,3,No,70
31,96,Low,Yes,8,67,Medium,Medium,Private,Neutral,3,No,73
21,95,Low,No,7,98,Low,Low,Public,Positive,2,No,69
26,90,High,Yes,9,53,Medium,Low,Private,Neutral,4,No,71
21,83,Low,Yes,7,89,Low,Low,Public,Neutral,2,No,65
12,65,Low,Yes,6,86,Medium,Medium,Public,Positive,3,No,62
18,81,High,No,6,95,Low,Medium,Public,Positive,3,No,69
21,74,Medium,No,6,55,High,Low,Public,Positive,2,No,65
17,92,Medium,No,7,99,Medium,Medium,Public,Neutral,2,No,68
19,90,Low,Yes,6,51,High,Low,Public,Negative,3,Yes,65
19,96,High,Yes,5,67,Medium,High,Private,Neutral,1,No,72
20,61,High,Yes,9,54,Medium,High,Private,Positive,4,No,67
20,92,Low,No,7,53,Medium,Medium,Private,Positive,2,No,68
14,98,Medium,No,7,98,Medium,Medium,Public,Positive,3,No,68
16,92,Medium,No,6,86,Low,Medium,Private,Neutral,3,Yes,66
12,65,High,Yes,5,75,High,High,Private,Negative,2,No,62
26,63,Medium,Yes,7,55,Medium,Medium,Public,Neutral,4,No,65
7,61,High,Yes,4,76,High,Medium,Private,Positive,5,No,60
27,85,Medium,Yes,8,66,Medium,Low,Private,Neutral,4,Yes,70
28,85,Medium,Yes,6,64,Low,Low,Public,Neutral,1,No,68
18,99,High,Yes,7,81,Low,Medium,Public,Neutral,3,No,72
4,76,Medium,Yes,8,90,Medium,High,Public,Positive,2,No,63
18,73,High,Yes,7,72,Low,Medium,Private,Neutral,1,Yes,63
20,85,Medium,Yes,5,75,Low,Medium,Public,Neutral,2,No,67
14,93,Low,Yes,9,83,Low,Medium,Public,Neutral,2,No,68
17,97,Medium,No,5,56,Low,High,Public,Positive,3,No,69
29,92,Medium,Yes,4,91,Low,High,Public,Neutral,4,No,75
24,77,Medium,No,8,92,High,High,Public,Neutral,3,No,67
14,85,High,Yes,5,77,Medium,Low,Public,Positive,3,No,69
10,94,Medium,No,9,59,Low,Medium,Public,Positive,2,No,65
18,80,High,Yes,8,75,Medium,Medium,Public,Negative,4,No,65
19,69,Medium,Yes,7,55,Low,Low,Public,Positive,4,No,63
23,67,Medium,No,6,88,Medium,Medium,Private,Neutral,4,No,65
17,60,Low,No,6,66,Medium,Low,Public,Positive,2,No,58
23,89,High,Yes,6,66,Low,Low,Private,Positive,3,No,70
32,64,Low,Yes,6,97,Medium,Medium,Public,Neutral,5,No,66
25,70,Low,No,9,71,Medium,Low,Public,Negative,2,No,63
20,72,Low,Yes,6,89,Low,Low,Private,Negative,3,No,62
19,82,Medium,Yes,8,82,High,Medium,Private,Positive,3,No,69
18,76,Medium,No,9,66,High,High,Public,Positive,3,No,66
27,87,Low,No,6,56,Medium,Low,Public,Neutral,2,No,68
16,62,Medium,Yes,8,90,Low,High,Public,Neutral,2,No,62
20,65,Medium,No,6,88,Medium,Medium,Public,Negative,4,Yes,64
20,80,High,Yes,7,58,Low,Medium,Public,Neutral,2,No,65
17,73,High,Yes,6,62,Low,Low,Private,Negative,3,No,64
12,72,Medium,No,6,88,High,High,Public,Positive,3,No,65
22,63,Medium,Yes,7,99,Low,Medium,Private,Neutral,4,No,65
20,96,Medium,Yes,5,92,Medium,Medium,Public,Neutral,3,No,70
23,88,High,No,8,84,High,Medium,Private,Positive,3,Yes,71
17,65,Medium,Yes,5,96,Low,Medium,Public,Positive,3,No,65
27,63,Medium,No,5,64,Medium,High,Public,Positive,4,No,67
15,99,High,Yes,7,50,High,Low,Public,Positive,2,No,68
30,87,High,Yes,6,66,Low,Medium,Public,Neutral,4,No,73
10,77,High,No,8,99,Medium,Medium,Public,Neutral,4,Yes,64
23,88,High,No,7,94,Low,Low,Private,Positive,1,No,71
23,90,High,No,5,53,Medium,Medium,Private,Positive,2,No,70
15,91,High,No,8,75,Medium,Medium,Public,Neutral,1,No,68
23,79,Medium,Yes,7,54,Medium,Low,Private,Neutral,4,No,68
28,77,High,Yes,7,89,Medium,Low,Public,Positive,3,Yes,68
7,60,High,Yes,10,69,Low,Low,Private,Positive,3,No,59
23,97,Medium,Yes,9,96,Medium,Medium,Private,Neutral,4,No,74
5,84,Medium,Yes,7,53,Low,Low,Public,Positive,3,No,62
14,68,Low,Yes,5,87,High,Medium,Public,Positive,3,No,64
30,97,High,No,5,70,Medium,High,Public,Positive,2,No,76
17,97,Medium,Yes,9,63,Medium,Low,Public,Positive,2,No,70
13,100,Medium,No,6,76,Medium,Low,Public,Positive,5,No,69
19,95,Medium,Yes,7,74,High,Low,Public,Positive,2,No,69
32,100,High,Yes,5,67,Medium,Medium,Public,Positive,3,No,74
9,70,Medium,No,8,82,Low,High,Public,Negative,2,No,62
14,94,Medium,No,9,83,High,Low,Public,Positive,3,No,70
29,93,Medium,Yes,9,54,Medium,Low,Public,Positive,3,No,71
31,69,Low,Yes,6,80,Low,Medium,Public,Negative,2,No,68
19,64,Low,Yes,8,86,Low,High,Private,Neutral,3,No,66
13,99,Medium,No,7,54,High,High,Public,Negative,3,No,67
33,72,Medium,No,8,83,Low,Low,Private,Neutral,4,No,71
30,95,Medium,Yes,7,90,Medium,Medium,Public,Neutral,1,No,74
24,60,Medium,Yes,6,92,Low,Medium,Public,Positive,2,No,65
15,61,Low,Yes,9,52,Medium,Medium,Private,Neutral,3,No,60
20,79,High,Yes,7,85,Low,Medium,Public,Neutral,2,No,69
19,70,Medium,Yes,6,90,Low,Low,Private,Positive,3,No,65
22,88,Low,Yes,7,70,Medium,Low,Public,Positive,2,No,69
29,83,Low,Yes,6,77,High,Medium,Public,Neutral,4,No,70
25,63,Low,Yes,8,63,Medium,Medium,Private,Positive,1,Yes,65
14,67,Low,Yes,7,66,Low,Low,Public,Neutral,4,No,57
28,76,Medium,Yes,6,75,Low,Medium,Public,Positive,2,No,68
22,67,High,No,10,58,Medium,High,Public,Neutral,3,No,67
24,92,Medium,No,5,69,Medium,Medium,Private,Negative,4,No,70
29,77,Medium,Yes,8,65,Medium,Medium,Public,Neutral,3,No,68
13,64,High,Yes,7,62,Medium,Low,Public,Neutral,1,No,62
20,79,Medium,Yes,5,74,Medium,Low,Public,Neutral,5,No,67
17,64,High,Yes,6,92,Medium,Medium,Private,Positive,1,No,66
11,65,Low,Yes,5,62,Medium,Medium,Public,Neutral,2,No,60
22,70,Low,No,10,83,Low,Medium,Public,Positive,2,No,65
35,94,Medium,Yes,7,63,Medium,Low,Public,Positive,2,No,75
9,97,Medium,Yes,7,57,Medium,Medium,Public,Neutral,5,No,67
20,93,High,No,10,97,Medium,Low,Public,Neutral,2,No,71
24,73,Low,Yes,6,82,Medium,Medium,Public,Negative,2,Yes,63
21,71,Medium,Yes,9,55,Low,High,Public,Positive,1,No,67
19,82,Medium,No,8,82,Low,Low,Private,Negative,4,No,68
12,89,Low,Yes,4,59,Low,Low,Public,Negative,4,No,65
21,100,High,No,6,94,Medium,High,Public,Positive,3,No,72
15,65,Medium,No,8,62,Medium,Medium,Public,Neutral,4,No,61
7,62,High,No,7,90,Medium,Medium,Public,Neutral,5,No,60
27,88,High,Yes,7,60,Medium,Low,Public,Positive,2,No,72
26,93,Medium,Yes,6,78,Medium,Medium,Public,Neutral,3,No,72
20,94,Medium,Yes,6,96,Medium,Medium,Private,Negative,3,No,70
21,87,Medium,No,7,65,High,Medium,Public,Negative,3,Yes,67
26,98,Medium,No,10,54,Medium,Low,Private,Neutral,1,No,71
21,80,Low,Yes,6,78,Medium,Medium,Private,Negative,2,No,66
25,97,High,No,6,59,Low,Low,Public,Positive,2,No,72
18,99,Medium,Yes,7,86,Medium,High,Public,Neutral,4,No,70
28,94,Low,Yes,5,80,Medium,High,Public,Negative,2,No,71
22,72,Low,Yes,8,67,High,Medium,Public,Negative,4,No,64
21,68,Medium,Yes,5,85,Medium,High,Public,Positive,2,No,66
12,82,Low,No,5,62,Low,Medium,Public,Positive,4,No,64
22,78,Medium,Yes,5,96,Medium,Low,Public,Neutral,3,No,67
15,95,Low,No,5,67,High,Medium,Public,Positive,3,No,67
16,64,Low,No,9,88,Medium,Medium,Public,Positive,3,No,64
15,70,Medium,No,8,63,Low,Medium,Private,Positive,4,No,61
14,90,High,Yes,8,86,Medium,Medium,Private,Negative,2,No,99
33,64,Medium,No,8,52,Low,High,Public,Positive,4,No,67
28,73,High,Yes,7,65,High,High,Public,Positive,3,No,72
32,75,Low,No,7,55,Medium,Medium,Public,Neutral,4,No,66
13,85,High,Yes,9,73,High,Medium,Public,Positive,2,No,68
20,66,Low,No,9,72,Low,Medium,Public,Positive,1,No,64
12,94,High,No,5,68,High,High,Public,Neutral,2,No,69
16,78,High,No,10,99,Low,Low,Public,Positive,4,No,65
14,97,High,No,5,62,Medium,Medium,Public,Neutral,4,Yes,66
27,79,High,Yes,6,90,Low,Medium,Public,Positive,4,No,73
18,71,Medium,Yes,7,72,Low,Low,Public,Neutral,4,No,63
26,66,Medium,Yes,7,67,High,Medium,Public,Negative,4,No,66
24,60,Medium,Yes,10,60,Low,Low,Private,Neutral,2,No,65
34,81,Medium,Yes,9,82,Low,Medium,Public,Negative,2,No,71
11,64,Low,Yes,8,67,High,Medium,Public,Neutral,2,Yes,58
28,76,Medium,No,9,91,Medium,Low,Private,Neutral,3,No,68
27,84,Medium,No,8,98,Medium,Low,Public,Neutral,4,No,69
14,71,Low,Yes,6,61,Low,Low,Public,Positive,3,No,63
26,67,Medium,Yes,8,56,Medium,Medium,Public,Negative,5,No,66
22,91,Medium,Yes,7,66,Medium,High,Public,Negative,3,No,69
19,98,Low,Yes,6,73,Medium,Low,Private,Negative,3,No,69
15,64,Medium,No,9,65,Medium,Medium,Public,Neutral,2,No,63
16,66,High,Yes,7,99,Medium,Low,Public,Positive,3,No,65
32,98,High,No,5,89,Medium,High,Private,Positive,3,No,76
20,62,Medium,Yes,6,98,High,High,Public,Neutral,3,No,67
25,99,Medium,No,8,69,Medium,Low,Public,Positive,3,No,70
15,60,Low,No,9,65,Medium,Medium,Public,Negative,5,No,60
15,95,Low,No,8,70,Medium,High,Public,Neutral,3,Yes,68
26,72,Medium,Yes,8,76,Medium,Medium,Public,Negative,3,No,68
12,98,High,Yes,6,87,Medium,Low,Private,Neutral,3,No,70
18,73,High,Yes,7,94,High,High,Private,Neutral,3,No,68
20,86,High,No,7,73,Medium,Low,Public,Neutral,3,Yes,69
21,63,Medium,Yes,7,64,Medium,Low,Public,Negative,3,No,62
19,70,Low,No,7,66,Medium,High,Private,Neutral,4,No,64
22,91,Medium,No,6,85,Low,Medium,Private,Positive,2,No,71
24,81,Medium,Yes,8,78,Medium,Low,Public,Positive,2,No,68
24,97,Medium,No,5,74,High,Medium,Public,Neutral,5,No,72
14,77,Medium,Yes,5,60,Low,High,Private,Negative,3,No,64
18,95,High,Yes,6,94,Medium,Low,Public,Neutral,3,No,73
27,78,High,No,8,89,Low,Low,Public,Neutral,3,No,69
25,99,Medium,No,8,57,Medium,Medium,Private,Positive,3,No,70
12,98,High,No,4,68,Medium,Low,Public,Neutral,2,No,69
22,73,Low,No,8,77,Medium,High,Public,Neutral,3,No,64
8,95,Medium,No,7,73,Low,Medium,Private,Neutral,2,No,66
20,94,Medium,Yes,6,70,High,Medium,Public,Neutral,2,No,69
31,68,Medium,No,7,86,Low,Low,Private,Positive,3,No,68
14,85,Low,Yes,5,53,Medium,Medium,Public,Neutral,3,No,65
15,63,Low,Yes,7,74,Medium,Low,Public,Negative,2,No,62
25,93,High,Yes,5,63,Medium,High,Public,Positive,2,No,75
11,67,Medium,Yes,6,54,Low,Low,Public,Positive,3,No,60
16,63,High,Yes,6,73,Medium,Medium,Public,Neutral,4,No,63
24,76,Low,Yes,8,59,Medium,Medium,Public,Positive,4,No,66
16,83,Medium,Yes,7,63,Medium,Medium,Public,Neutral,3,No,67
19,94,Medium,Yes,8,75,Medium,Medium,Public,Negative,3,No,68
24,99,Medium,Yes,5,99,Medium,Low,Public,Positive,3,No,72
23,78,Medium,No,7,84,High,Low,Private,Neutral,3,No,66
22,62,Medium,Yes,8,64,Medium,Low,Public,Neutral,3,No,63
18,90,High,Yes,9,69,Medium,High,Private,Positive,3,No,71
22,83,Medium,Yes,5,70,High,Low,Public,Positive,3,No,67
19,78,Medium,Yes,6,58,Medium,Low,Public,Neutral,3,No,66
23,72,Medium,No,8,58,Medium,Low,Private,Positive,2,No,66
17,80,High,No,9,57,Medium,Low,Public,Positive,2,No,68
19,74,Medium,No,7,76,High,High,Public,Neutral,3,No,66
14,90,Medium,Yes,5,84,Medium,Low,Public,Negative,3,No,68
20,82,Medium,Yes,5,80,Medium,Low,Public,Neutral,1,Yes,68
15,95,Medium,Yes,7,99,Low,High,Public,Neutral,2,No,68
13,82,High,No,8,56,Low,Low,Private,Neutral,3,No,66
22,70,Low,No,7,99,Medium,Low,Private,Positive,2,No,66
21,94,High,No,5,73,Low,Medium,Public,Neutral,3,No,70
25,82,Medium,Yes,9,61,Low,High,Public,Negative,2,No,68
17,68,Medium,Yes,6,97,High,High,Public,Negative,3,No,65
22,85,High,Yes,8,73,High,Medium,Private,Positive,3,No,70
23,74,Medium,No,4,67,Medium,High,Private,Negative,5,No,66
23,94,High,Yes,9,61,Medium,Medium,Public,Negative,1,Yes,68
15,78,Medium,Yes,6,63,High,Medium,Private,Neutral,2,Yes,64
21,89,Medium,No,9,99,Medium,Medium,Private,Negative,3,No,69
22,64,Medium,No,8,65,Low,Medium,Private,Neutral,4,No,65
20,76,High,Yes,5,99,Low,Medium,Public,Negative,3,No,69
7,99,High,Yes,7,67,Low,High,Private,Neutral,4,No,66
21,92,Low,No,9,62,Medium,Medium,Public,Positive,2,No,68
33,66,Medium,Yes,6,59,Medium,High,Public,Positive,2,No,70
18,71,Medium,No,9,71,Medium,Medium,Public,Positive,3,No,65
16,73,Medium,Yes,8,62,Medium,High,Private,Neutral,2,No,65
22,86,Low,No,9,85,Medium,Medium,Public,Negative,3,No,68
22,90,Medium,No,7,62,Low,Medium,Public,Positive,3,No,67
27,90,High,No,7,92,Medium,Low,Private,Neutral,3,No,72
12,80,High,Yes,10,92,High,High,Public,Positive,3,No,70
24,92,High,Yes,8,64,High,High,Private,Neutral,3,No,72
24,77,High,Yes,7,88,Low,High,Public,Negative,5,No,71
19,65,Medium,No,8,93,Low,Medium,Private,Neutral,4,No,64
22,83,High,Yes,6,80,Medium,Medium,Public,Positive,5,No,69
26,98,Medium,Yes,7,68,Medium,Low,Public,Positive,1,No,73
25,92,High,Yes,9,72,Medium,Low,Public,Negative,5,No,70
13,83,Medium,No,7,89,Medium,Low,Public,Neutral,4,No,68
25,86,Medium,No,6,65,Medium,Medium,Public,Positive,5,No,71
20,97,High,No,6,67,Low,Low,Private,Positive,3,No,71
20,77,High,Yes,7,58,High,High,Public,Neutral,3,No,66
20,73,High,No,6,70,Low,High,Public,Neutral,4,No,68
19,99,High,Yes,5,54,Low,Medium,Public,Neutral,2,No,70
27,95,Medium,No,5,66,Low,Medium,Public,Neutral,4,No,72
19,73,High,Yes,9,69,High,Low,Public,Positive,4,No,66
13,79,High,Yes,7,63,Low,High,Private,Neutral,2,No,65
18,77,High,Yes,7,55,High,High,Private,Neutral,3,Yes,66
21,66,Medium,Yes,6,76,Low,Low,Private,Neutral,1,No,65
27,98,Low,Yes,6,93,Low,Low,Private,Neutral,4,No,72
24,76,Medium,Yes,6,67,Medium,High,Public,Negative,3,No,68
15,95,Medium,Yes,7,62,High,High,Public,Negative,3,No,68
35,68,High,Yes,5,64,Medium,High,Public,Positive,4,Yes,67
22,82,Medium,Yes,9,93,Low,Low,Public,Neutral,2,No,68
28,61,Medium,No,7,76,High,Medium,Public,Positive,4,No,67
19,91,High,No,7,57,Low,High,Public,Negative,3,No,69
23,83,Low,No,8,85,Medium,Low,Private,Neutral,2,Yes,65
25,85,Medium,No,8,58,Medium,Medium,Public,Neutral,4,No,70
27,62,Medium,No,6,53,Low,Medium,Public,Positive,2,No,64
26,68,Medium,No,8,63,Medium,Low,Public,Positive,3,No,66
25,63,Medium,No,8,58,Medium,High,Public,Positive,1,No,64
18,72,High,Yes,7,80,High,High,Public,Negative,2,Yes,66
17,85,Medium,Yes,9,74,Medium,Medium,Private,Neutral,2,No,67
22,83,Low,Yes,8,86,Medium,Medium,Public,Negative,4,No,68
26,84,Medium,No,8,76,Medium,Medium,Public,Neutral,2,No,71
19,82,Low,No,9,71,Medium,Low,Private,Neutral,3,No,67
26,71,Medium,Yes,7,76,Medium,Low,Public,Positive,2,No,69
29,70,Low,Yes,7,72,Low,Medium,Public,Positive,4,No,67
15,65,High,Yes,8,52,Medium,Low,Private,Neutral,3,Yes,61
15,94,Medium,No,7,84,Medium,Medium,Public,Positive,2,No,68
19,85,Low,Yes,8,98,Medium,Medium,Private,Neutral,4,No,67
22,67,Medium,Yes,6,71,Low,Medium,Public,Neutral,4,No,64
17,67,Medium,Yes,4,71,Medium,Medium,Public,Negative,2,No,63
28,95,Medium,No,8,52,High,High,Public,Negative,4,No,72
23,90,Medium,No,5,95,Low,Low,Public,Negative,2,No,69
20,86,High,No,6,96,Medium,High,Public,Neutral,2,Yes,66
11,76,Medium,Yes,8,91,Low,High,Private,Neutral,3,Yes,64
12,70,Medium,Yes,8,55,Medium,Medium,Public,Negative,4,No,61
22,99,High,Yes,9,95,Medium,Low,Public,Negative,4,Yes,71
7,92,Medium,Yes,4,51,Medium,High,Public,Positive,1,No,63
26,72,Low,No,7,72,Low,Medium,Public,Neutral,4,No,65
19,94,Low,Yes,7,75,Medium,High,Public,Negative,5,No,71
39,90,High,No,8,92,High,Medium,Private,Neutral,1,No,78
34,72,High,Yes,9,88,Low,High,Private,Positive,3,No,73
19,77,Medium,No,5,90,Low,Low,Private,Neutral,3,No,65
19,67,Medium,Yes,7,93,High,Medium,Public,Positive,4,No,66
26,64,Low,Yes,8,74,Low,Medium,Public,Neutral,2,No,66
30,89,Medium,No,6,89,Medium,High,Public,Neutral,3,No,74
10,71,Low,No,10,53,Low,High,Private,Positive,3,No,62
9,93,Low,Yes,6,72,Low,Medium,Public,Positive,2,No,66
16,100,High,No,7,52,Medium,Low,Public,Negative,4,No,71
23,63,Medium,Yes,5,96,Medium,High,Public,Neutral,2,No,67
23,79,Low,Yes,7,98,Low,Medium,Public,Neutral,4,No,69
26,92,High,No,4,54,Medium,High,Public,Positive,4,No,72
13,92,High,Yes,7,77,Medium,High,Public,Positive,4,No,72
6,90,Medium,Yes,9,66,Medium,Medium,Public,Positive,2,No,65
25,74,High,No,5,67,High,Medium,Public,Positive,5,No,71
15,78,Medium,No,5,73,Medium,High,Private,Positive,1,Yes,64
8,84,Low,Yes,9,56,Low,Low,Public,Positive,2,No,61
21,99,Low,Yes,9,59,Low,High,Public,Negative,2,No,69
25,73,Medium,Yes,5,79,Medium,Low,Private,Neutral,5,No,65
19,97,Low,Yes,10,51,High,Low,Public,Neutral,4,No,69
17,71,Medium,No,8,80,Low,High,Public,Neutral,3,No,64
19,100,Low,Yes,9,66,High,High,Public,Negative,4,Yes,69
18,87,Medium,Yes,6,92,Low,Low,Private,Neutral,4,No,68
12,79,Low,No,9,80,Low,High,Public,Positive,2,No,63
16,85,Medium,No,7,85,High,Medium,Public,Neutral,2,No,66
23,71,Medium,No,7,56,Low,Medium,Private,Positive,4,No,65
22,71,Medium,Yes,8,63,Medium,Medium,Public,Negative,2,No,66
21,65,Medium,No,6,100,Medium,Medium,Public,Neutral,4,No,67
14,65,High,Yes,5,72,Low,Low,Private,Negative,2,No,62
19,74,High,Yes,7,68,Medium,Low,Public,Negative,2,No,66
7,91,Medium,No,7,94,High,High,Public,Neutral,3,No,68
21,84,Medium,Yes,6,52,Medium,High,Public,Negative,5,No,68
29,64,Medium,No,9,77,Medium,Low,Public,Negative,2,No,63
11,94,Low,Yes,10,61,Medium,Medium,Public,Neutral,3,No,66
16,84,Low,No,6,68,Low,Medium,Private,Neutral,3,No,65
22,98,Medium,Yes,7,60,Medium,High,Public,Positive,1,No,72
28,87,Medium,No,6,52,Medium,Low,Private,Neutral,3,No,70
17,67,Low,No,10,71,Medium,Medium,Public,Positive,3,No,63
16,79,Medium,No,8,89,Medium,Low,Private,Neutral,4,No,65
8,86,Low,Yes,8,98,Low,Low,Private,Neutral,1,No,65
21,61,High,No,9,81,Medium,Medium,Private,Neutral,3,No,66
32,61,Medium,Yes,7,69,High,High,Public,Positive,3,No,68
22,65,Low,Yes,7,88,Low,Medium,Public,Positive,4,No,64
20,70,Medium,No,9,75,Low,Medium,Public,Neutral,4,No,66
22,77,Medium,Yes,8,68,Medium,High,Public,Positive,4,No,68
20,79,Medium,Yes,6,59,Medium,Low,Public,Positive,2,No,64
15,66,Medium,No,6,90,Low,Medium,Public,Negative,3,No,62
25,87,Medium,Yes,6,75,Medium,Low,Private,Neutral,2,Yes,67
21,84,High,No,9,98,Medium,Low,Public,Negative,3,No,67
20,72,Medium,No,9,90,Low,Medium,Private,Neutral,2,No,65
14,61,Medium,Yes,10,71,Medium,Low,Public,Neutral,4,No,59
28,63,High,Yes,6,87,Low,Low,Public,Positive,2,No,66
24,76,Low,No,7,73,Medium,Medium,Public,Neutral,2,No,68
17,66,Medium,No,6,54,Medium,High,Public,Positive,3,Yes,63
26,75,Low,Yes,7,76,Medium,Medium,Public,Neutral,3,No,68
17,85,Low,Yes,8,93,Low,Medium,Public,Positive,3,No,68
15,82,Medium,Yes,7,93,Medium,Low,Public,Negative,2,No,66
15,69,Low,No,9,79,Low,Medium,Private,Positive,2,No,63
9,74,Low,No,6,69,Low,Low,Private,Positive,2,No,61
23,85,Medium,Yes,8,51,Low,High,Public,Negative,4,No,68
